"temp","species","parameter","percent_change_R0"
34.1,"Ae. aegypti","b",4.88088481701515
34.2,"Ae. aegypti","b",4.88088481701516
34.3,"Ae. aegypti","b",4.88088481701517
34.4,"Ae. aegypti","b",4.88088481701515
34.5,"Ae. aegypti","b",4.88088481701514
34.6,"Ae. aegypti","b",4.88088481701515
17.1,"Ae. aegypti","c",4.88088481701517
17.2,"Ae. aegypti","c",4.88088481701516
17.3,"Ae. aegypti","c",4.88088481701516
17.4,"Ae. aegypti","c",4.88088481701516
17.5,"Ae. aegypti","c",4.88088481701516
17.6,"Ae. aegypti","c",4.88088481701517
17.7,"Ae. aegypti","c",4.88088481701517
17.8,"Ae. aegypti","c",4.88088481701514
17.9,"Ae. aegypti","c",4.88088481701516
18,"Ae. aegypti","c",4.88088481701516
18.1,"Ae. aegypti","c",4.88088481701515
18.2,"Ae. aegypti","c",4.88088481701516
18.3,"Ae. aegypti","c",4.88088481701513
18.4,"Ae. aegypti","c",4.88088481701515
18.5,"Ae. aegypti","c",4.88088481701516
18.6,"Ae. aegypti","c",4.88088481701514
18.7,"Ae. aegypti","c",4.88088481701516
18.8,"Ae. aegypti","c",4.88088481701514
18.9,"Ae. aegypti","c",4.88088481701515
19,"Ae. aegypti","c",4.88088481701515
19.1,"Ae. aegypti","c",4.88088481701515
19.2,"Ae. aegypti","c",4.88088481701515
19.3,"Ae. aegypti","c",4.88088481701517
19.4,"Ae. aegypti","c",4.88088481701516
19.5,"Ae. aegypti","c",4.88088481701517
19.6,"Ae. aegypti","c",4.88088481701517
19.7,"Ae. aegypti","c",4.88088481701517
19.8,"Ae. aegypti","c",4.88088481701516
19.9,"Ae. aegypti","c",4.88088481701516
20,"Ae. aegypti","c",4.88088481701516
20.1,"Ae. aegypti","c",4.88088481701517
20.2,"Ae. aegypti","c",4.88088481701516
20.3,"Ae. aegypti","c",4.88088481701515
20.4,"Ae. aegypti","c",4.88088481701515
20.5,"Ae. aegypti","c",4.88088481701517
20.6,"Ae. aegypti","c",4.88088481701518
20.7,"Ae. aegypti","c",4.88088481701517
20.8,"Ae. aegypti","c",4.88088481701518
20.9,"Ae. aegypti","c",4.88088481701516
21,"Ae. aegypti","c",4.88088481701515
21.1,"Ae. aegypti","c",4.88088481701517
21.2,"Ae. aegypti","c",4.88088481701516
21.3,"Ae. aegypti","c",4.88088481701514
21.4,"Ae. aegypti","c",4.88088481701516
21.5,"Ae. aegypti","c",4.88088481701517
21.6,"Ae. aegypti","c",4.88088481701516
21.7,"Ae. aegypti","c",4.88088481701515
21.8,"Ae. aegypti","c",4.88088481701513
21.9,"Ae. aegypti","c",4.88088481701515
22,"Ae. aegypti","c",4.88088481701513
22.1,"Ae. aegypti","c",4.88088481701517
22.2,"Ae. aegypti","c",4.88088481701515
22.3,"Ae. aegypti","c",4.88088481701515
22.4,"Ae. aegypti","c",4.88088481701515
22.5,"Ae. aegypti","c",4.88088481701517
22.6,"Ae. aegypti","c",4.88088481701514
22.7,"Ae. aegypti","c",4.88088481701517
22.8,"Ae. aegypti","c",4.88088481701518
22.9,"Ae. aegypti","c",4.88088481701516
23,"Ae. aegypti","c",4.88088481701518
23.1,"Ae. aegypti","c",4.88088481701516
23.2,"Ae. aegypti","c",4.88088481701518
23.3,"Ae. aegypti","c",4.88088481701516
23.4,"Ae. aegypti","c",4.88088481701515
23.5,"Ae. aegypti","c",4.88088481701516
23.6,"Ae. aegypti","c",4.88088481701515
23.7,"Ae. aegypti","c",4.88088481701517
23.8,"Ae. aegypti","c",4.88088481701515
23.9,"Ae. aegypti","c",4.88088481701516
24,"Ae. aegypti","c",4.88088481701517
24.1,"Ae. aegypti","c",4.88088481701514
24.2,"Ae. aegypti","c",4.88088481701517
24.3,"Ae. aegypti","c",4.88088481701516
24.4,"Ae. aegypti","c",4.88088481701516
24.5,"Ae. aegypti","c",4.88088481701517
24.6,"Ae. aegypti","c",4.88088481701516
24.7,"Ae. aegypti","c",4.88088481701516
24.8,"Ae. aegypti","c",4.88088481701515
24.9,"Ae. aegypti","c",4.88088481701517
25,"Ae. aegypti","c",4.88088481701517
25.1,"Ae. aegypti","c",4.88088481701516
25.2,"Ae. aegypti","c",4.88088481701517
25.3,"Ae. aegypti","c",4.88088481701516
25.4,"Ae. aegypti","c",4.88088481701515
25.5,"Ae. aegypti","c",4.88088481701515
25.6,"Ae. aegypti","c",4.88088481701515
25.7,"Ae. aegypti","c",4.88088481701514
25.8,"Ae. aegypti","c",4.88088481701515
25.9,"Ae. aegypti","c",4.88088481701517
26,"Ae. aegypti","c",4.88088481701516
26.1,"Ae. aegypti","c",4.88088481701515
26.2,"Ae. aegypti","c",4.88088481701513
26.3,"Ae. aegypti","c",4.88088481701514
26.4,"Ae. aegypti","c",4.88088481701518
26.5,"Ae. aegypti","c",4.88088481701516
26.6,"Ae. aegypti","c",4.88088481701516
26.7,"Ae. aegypti","c",4.88088481701514
26.8,"Ae. aegypti","c",4.88088481701515
26.9,"Ae. aegypti","c",4.88088481701515
27,"Ae. aegypti","c",4.88088481701515
27.1,"Ae. aegypti","c",4.88088481701516
27.2,"Ae. aegypti","c",4.88088481701515
27.3,"Ae. aegypti","c",4.88088481701516
27.4,"Ae. aegypti","c",4.88088481701516
27.5,"Ae. aegypti","c",4.88088481701514
27.6,"Ae. aegypti","c",4.88088481701515
27.7,"Ae. aegypti","c",4.88088481701516
27.8,"Ae. aegypti","c",4.88088481701517
27.9,"Ae. aegypti","c",4.88088481701515
28,"Ae. aegypti","c",4.88088481701516
28.1,"Ae. aegypti","c",4.88088481701513
28.2,"Ae. aegypti","c",4.88088481701516
28.3,"Ae. aegypti","c",4.88088481701516
28.4,"Ae. aegypti","c",4.88088481701516
28.5,"Ae. aegypti","c",4.88088481701517
28.6,"Ae. aegypti","c",4.88088481701518
28.7,"Ae. aegypti","c",4.88088481701516
28.8,"Ae. aegypti","c",4.88088481701516
28.9,"Ae. aegypti","c",4.88088481701516
29,"Ae. aegypti","c",4.88088481701515
29.1,"Ae. aegypti","c",4.88088481701516
29.2,"Ae. aegypti","c",4.88088481701518
29.3,"Ae. aegypti","c",4.88088481701517
29.4,"Ae. aegypti","c",4.88088481701517
29.5,"Ae. aegypti","c",4.88088481701516
29.6,"Ae. aegypti","c",4.88088481701517
29.7,"Ae. aegypti","c",4.88088481701516
29.8,"Ae. aegypti","c",4.88088481701516
29.9,"Ae. aegypti","c",4.88088481701516
30,"Ae. aegypti","c",4.88088481701516
30.1,"Ae. aegypti","c",4.88088481701514
30.2,"Ae. aegypti","c",4.88088481701515
30.3,"Ae. aegypti","c",4.88088481701517
30.4,"Ae. aegypti","c",4.88088481701516
30.5,"Ae. aegypti","c",4.88088481701516
30.6,"Ae. aegypti","c",4.88088481701517
30.7,"Ae. aegypti","c",4.88088481701515
30.8,"Ae. aegypti","c",4.88088481701514
30.9,"Ae. aegypti","c",4.88088481701515
31,"Ae. aegypti","c",4.88088481701518
31.1,"Ae. aegypti","c",4.88088481701517
31.2,"Ae. aegypti","c",4.88088481701517
31.3,"Ae. aegypti","c",4.88088481701518
31.4,"Ae. aegypti","c",4.88088481701516
31.5,"Ae. aegypti","c",4.88088481701516
31.6,"Ae. aegypti","c",4.88088481701515
31.7,"Ae. aegypti","c",4.88088481701516
31.8,"Ae. aegypti","c",4.88088481701515
31.9,"Ae. aegypti","c",4.88088481701519
32,"Ae. aegypti","c",4.8808848170152
32.1,"Ae. aegypti","c",4.88088481701517
32.2,"Ae. aegypti","c",4.88088481701515
32.3,"Ae. aegypti","c",4.88088481701514
32.4,"Ae. aegypti","c",4.88088481701516
32.5,"Ae. aegypti","c",4.88088481701517
32.6,"Ae. aegypti","c",4.88088481701516
32.7,"Ae. aegypti","c",4.88088481701516
32.8,"Ae. aegypti","c",4.88088481701516
32.9,"Ae. aegypti","c",4.88088481701517
33,"Ae. aegypti","c",4.88088481701517
33.1,"Ae. aegypti","c",4.88088481701515
33.2,"Ae. aegypti","c",4.88088481701514
33.3,"Ae. aegypti","c",4.88088481701515
33.4,"Ae. aegypti","c",4.88088481701515
33.5,"Ae. aegypti","c",4.88088481701516
33.6,"Ae. aegypti","c",4.88088481701514
33.7,"Ae. aegypti","c",4.88088481701516
33.8,"Ae. aegypti","c",4.88088481701515
33.9,"Ae. aegypti","c",4.88088481701516
34,"Ae. aegypti","c",4.88088481701517
34.1,"Ae. aegypti","c",4.88088481701515
34.2,"Ae. aegypti","c",4.88088481701518
34.3,"Ae. aegypti","c",4.88088481701517
34.4,"Ae. aegypti","c",4.88088481701515
34.5,"Ae. aegypti","c",4.88088481701514
34.6,"Ae. aegypti","c",4.88088481701516
17.1,"Ae. aegypti","lf",21.02445192744
17.2,"Ae. aegypti","lf",20.8691088433994
17.3,"Ae. aegypti","lf",20.7206085284854
17.4,"Ae. aegypti","lf",20.5785600535195
17.5,"Ae. aegypti","lf",20.4426001610641
17.6,"Ae. aegypti","lf",20.3123909405726
17.7,"Ae. aegypti","lf",20.187617729412
17.8,"Ae. aegypti","lf",20.0679872148967
17.9,"Ae. aegypti","lf",19.9532257155299
18,"Ae. aegypti","lf",19.8430776222798
18.1,"Ae. aegypti","lf",19.7373039830128
18.2,"Ae. aegypti","lf",19.6356812151842
18.3,"Ae. aegypti","lf",19.5379999336224
18.4,"Ae. aegypti","lf",19.4440638817467
18.5,"Ae. aegypti","lf",19.3536889558781
18.6,"Ae. aegypti","lf",19.2667023134557
18.7,"Ae. aegypti","lf",19.1829415569828
18.8,"Ae. aegypti","lf",19.1022539864167
18.9,"Ae. aegypti","lf",19.0244959134968
19,"Ae. aegypti","lf",18.9495320321982
19.1,"Ae. aegypti","lf",18.8772348401057
19.2,"Ae. aegypti","lf",18.8074841060395
19.3,"Ae. aegypti","lf",18.7401663797485
19.4,"Ae. aegypti","lf",18.6751745399006
19.5,"Ae. aegypti","lf",18.6124073769855
19.6,"Ae. aegypti","lf",18.5517692080732
19.7,"Ae. aegypti","lf",18.4931695206733
19.8,"Ae. aegypti","lf",18.4365226432063
19.9,"Ae. aegypti","lf",18.3817474398343
20,"Ae. aegypti","lf",18.3287670276123
20.1,"Ae. aegypti","lf",18.2775085141131
20.2,"Ae. aegypti","lf",18.2279027538477
20.3,"Ae. aegypti","lf",18.1798841219577
20.4,"Ae. aegypti","lf",18.1333903037941
20.5,"Ae. aegypti","lf",18.0883620991216
20.6,"Ae. aegypti","lf",18.0447432397988
20.7,"Ae. aegypti","lf",18.0024802198851
20.8,"Ae. aegypti","lf",17.9615221372199
20.9,"Ae. aegypti","lf",17.9218205455953
21,"Ae. aegypti","lf",17.8833293167262
21.1,"Ae. aegypti","lf",17.846004511283
21.2,"Ae. aegypti","lf",17.8098042583172
21.3,"Ae. aegypti","lf",17.7746886424633
21.4,"Ae. aegypti","lf",17.7406195983538
21.5,"Ae. aegypti","lf",17.7075608117266
21.6,"Ae. aegypti","lf",17.6754776267492
21.7,"Ae. aegypti","lf",17.6443369591211
21.8,"Ae. aegypti","lf",17.6141072145492
21.9,"Ae. aegypti","lf",17.584758212225
22,"Ae. aegypti","lf",17.5562611129604
22.1,"Ae. aegypti","lf",17.5285883516649
22.2,"Ae. aegypti","lf",17.5017135738724
22.3,"Ae. aegypti","lf",17.4756115760472
22.4,"Ae. aegypti","lf",17.4502582494194
22.5,"Ae. aegypti","lf",17.4256305271192
22.6,"Ae. aegypti","lf",17.4017063343957
22.7,"Ae. aegypti","lf",17.3784645417226
22.8,"Ae. aegypti","lf",17.3558849206065
22.9,"Ae. aegypti","lf",17.3339481019289
23,"Ae. aegypti","lf",17.3126355366628
23.1,"Ae. aegypti","lf",17.2919294588182
23.2,"Ae. aegypti","lf",17.2718128504798
23.3,"Ae. aegypti","lf",17.2522694088109
23.4,"Ae. aegypti","lf",17.2332835149065
23.5,"Ae. aegypti","lf",17.2148402043848
23.6,"Ae. aegypti","lf",17.1969251396179
23.7,"Ae. aegypti","lf",17.1795245835045
23.8,"Ae. aegypti","lf",17.1626253746994
23.9,"Ae. aegypti","lf",17.1462149042153
24,"Ae. aegypti","lf",17.1302810933239
24.1,"Ae. aegypti","lf",17.1148123726819
24.2,"Ae. aegypti","lf",17.0997976626183
24.3,"Ae. aegypti","lf",17.0852263545209
24.4,"Ae. aegypti","lf",17.071088293265
24.5,"Ae. aegypti","lf",17.0573737606306
24.6,"Ae. aegypti","lf",17.0440734596588
24.7,"Ae. aegypti","lf",17.031178499902
24.8,"Ae. aegypti","lf",17.0186803835243
24.9,"Ae. aegypti","lf",17.0065709922131
25,"Ae. aegypti","lf",16.9948425748651
25.1,"Ae. aegypti","lf",16.9834877360118
25.2,"Ae. aegypti","lf",16.9724994249547
25.3,"Ae. aegypti","lf",16.961870925579
25.4,"Ae. aegypti","lf",16.9515958468216
25.5,"Ae. aegypti","lf",16.9416681137666
25.6,"Ae. aegypti","lf",16.9320819593472
25.7,"Ae. aegypti","lf",16.9228319166338
25.8,"Ae. aegypti","lf",16.9139128116881
25.9,"Ae. aegypti","lf",16.9053197569697
26,"Ae. aegypti","lf",16.8970481452767
